ID	Gene	d2.1_1	d2.2_1	d2.3_1	d30.1_1	d30.2_1	d30.3_1
P2129_enhancer_mutagenesis_182_AtoT	enhancer_mutagenesis_182_AtoT	1327	2743	334	4060	3275	3774
P2130_enhancer_mutagenesis_182_AtoC	enhancer_mutagenesis_182_AtoC	2027	2102	411	5251	2340	3045
P2131_enhancer_mutagenesis_182_AtoG	enhancer_mutagenesis_182_AtoG	1411	3519	536	4404	3213	2561
P2132_enhancer_mutagenesis_182_AtoT	enhancer_mutagenesis_182_AtoT	3030	6019	2031	3869	1872	4354
P2133_enhancer_mutagenesis_182_AtoC	enhancer_mutagenesis_182_AtoC	5641	1568	1038	1212	1811	930
P2134_enhancer_mutagenesis_182_AtoG	enhancer_mutagenesis_182_AtoG	5341	11771	1891	4731	4951	5908
P2135_enhancer_mutagenesis_183_TtoA	enhancer_mutagenesis_183_TtoA	1115	717	347	81	47	32
P2136_enhancer_mutagenesis_183_TtoC	enhancer_mutagenesis_183_TtoC	512	595	116	244	143	228
P2137_enhancer_mutagenesis_183_TtoG	enhancer_mutagenesis_183_TtoG	809	1266	211	445	569	265
P2138_enhancer_mutagenesis_183_TtoA	enhancer_mutagenesis_183_TtoA	912	1940	416	2664	3846	1506
P2139_enhancer_mutagenesis_183_TtoC	enhancer_mutagenesis_183_TtoC	2480	6476	1721	6144	4285	4658
P2140_enhancer_mutagenesis_183_TtoG	enhancer_mutagenesis_183_TtoG	5755	8818	1533	12142	11964	7878
P2141_enhancer_mutagenesis_183_TtoA	enhancer_mutagenesis_183_TtoA	2836	3055	930	2799	4079	1191
P2142_enhancer_mutagenesis_183_TtoC	enhancer_mutagenesis_183_TtoC	4446	6350	2033	3897	3467	5401
P2143_enhancer_mutagenesis_183_TtoG	enhancer_mutagenesis_183_TtoG	8094	12464	1915	8886	5508	6080
P2144_enhancer_mutagenesis_184_AtoT	enhancer_mutagenesis_184_AtoT	905	1499	586	2763	968	439
P2145_enhancer_mutagenesis_184_AtoC	enhancer_mutagenesis_184_AtoC	4754	4163	799	3007	2154	2120
P2146_enhancer_mutagenesis_184_AtoG	enhancer_mutagenesis_184_AtoG	3173	7094	868	2229	2101	3600
P2147_enhancer_mutagenesis_184_AtoT	enhancer_mutagenesis_184_AtoT	7950	12755	1640	10624	16888	6688
P2148_enhancer_mutagenesis_184_AtoC	enhancer_mutagenesis_184_AtoC	4873	8532	2533	11445	8806	8091
P2149_enhancer_mutagenesis_184_AtoG	enhancer_mutagenesis_184_AtoG	3556	5019	779	3138	2079	2634
P2150_enhancer_mutagenesis_184_AtoT	enhancer_mutagenesis_184_AtoT	6959	11466	2143	10125	3793	11987
P2151_enhancer_mutagenesis_184_AtoC	enhancer_mutagenesis_184_AtoC	5127	8304	1257	7325	7586	3869
P2152_enhancer_mutagenesis_184_AtoG	enhancer_mutagenesis_184_AtoG	1654	2140	800	2102	815	1079
P2153_enhancer_mutagenesis_185_GtoA	enhancer_mutagenesis_185_GtoA	3095	5086	3619	2801	4064	2097
P2154_enhancer_mutagenesis_185_GtoT	enhancer_mutagenesis_185_GtoT	3631	4151	1410	3357	5261	5664
P2155_enhancer_mutagenesis_185_GtoC	enhancer_mutagenesis_185_GtoC	7401	7060	2366	5930	6851	4372
P2156_enhancer_mutagenesis_185_GtoA	enhancer_mutagenesis_185_GtoA	11337	11511	2395	7712	7276	3131
P2157_enhancer_mutagenesis_185_GtoT	enhancer_mutagenesis_185_GtoT	3723	5809	1159	5792	5381	3334
P2158_enhancer_mutagenesis_185_GtoC	enhancer_mutagenesis_185_GtoC	5172	8527	1515	14237	6038	9345
P2159_enhancer_mutagenesis_185_GtoA	enhancer_mutagenesis_185_GtoA	7554	4655	1350	3750	1996	1457
P2160_enhancer_mutagenesis_185_GtoT	enhancer_mutagenesis_185_GtoT	3015	6048	878	4365	4775	2808
P2161_enhancer_mutagenesis_185_GtoC	enhancer_mutagenesis_185_GtoC	1472	1201	153	1661	1243	1139
P2162_enhancer_mutagenesis_186_AtoT	enhancer_mutagenesis_186_AtoT	4447	6154	1590	6513	2080	2440
P2163_enhancer_mutagenesis_186_AtoC	enhancer_mutagenesis_186_AtoC	4352	5752	990	3156	3705	2382
P2164_enhancer_mutagenesis_186_AtoG	enhancer_mutagenesis_186_AtoG	636	2798	744	2106	1289	547
P2165_enhancer_mutagenesis_186_AtoT	enhancer_mutagenesis_186_AtoT	1658	2504	548	874	958	906
P2166_enhancer_mutagenesis_186_AtoC	enhancer_mutagenesis_186_AtoC	1943	5100	1567	6221	5162	2107
P2167_enhancer_mutagenesis_186_AtoG	enhancer_mutagenesis_186_AtoG	4236	10369	1337	5629	6062	2872
P2168_enhancer_mutagenesis_186_AtoT	enhancer_mutagenesis_186_AtoT	2087	2962	595	2558	2290	1013
P2169_enhancer_mutagenesis_186_AtoC	enhancer_mutagenesis_186_AtoC	1835	3718	674	2571	5180	1540
P2170_enhancer_mutagenesis_186_AtoG	enhancer_mutagenesis_186_AtoG	4361	7590	921	6127	4645	3655
P2171_enhancer_mutagenesis_187_TtoA	enhancer_mutagenesis_187_TtoA	4800	5404	1558	3700	3185	1213
P2172_enhancer_mutagenesis_187_TtoC	enhancer_mutagenesis_187_TtoC	1432	2804	437	3453	2029	5003
P2173_enhancer_mutagenesis_187_TtoG	enhancer_mutagenesis_187_TtoG	6229	7353	1375	4048	3493	1898
P2174_enhancer_mutagenesis_187_TtoA	enhancer_mutagenesis_187_TtoA	5751	8533	1293	5864	3685	3136
P2175_enhancer_mutagenesis_187_TtoC	enhancer_mutagenesis_187_TtoC	1874	3578	256	1457	912	4152
P2176_enhancer_mutagenesis_187_TtoG	enhancer_mutagenesis_187_TtoG	5986	7570	1358	6672	5490	3178
P2177_enhancer_mutagenesis_187_TtoA	enhancer_mutagenesis_187_TtoA	6729	9284	3913	7781	5185	7992
P2178_enhancer_mutagenesis_187_TtoC	enhancer_mutagenesis_187_TtoC	2814	10554	937	5241	5765	3562
P2179_enhancer_mutagenesis_187_TtoG	enhancer_mutagenesis_187_TtoG	9127	8680	2048	7716	10969	5633
P2180_enhancer_mutagenesis_188_GtoA	enhancer_mutagenesis_188_GtoA	1564	4104	865	1014	1888	741
P2181_enhancer_mutagenesis_188_GtoT	enhancer_mutagenesis_188_GtoT	3809	3840	976	4883	2998	4920
P2182_enhancer_mutagenesis_188_GtoC	enhancer_mutagenesis_188_GtoC	6680	3877	748	3360	2052	1382
P2183_enhancer_mutagenesis_188_GtoA	enhancer_mutagenesis_188_GtoA	5177	9037	1230	3386	4442	3557
P2184_enhancer_mutagenesis_188_GtoT	enhancer_mutagenesis_188_GtoT	4242	6695	1099	3162	3596	2555
P2185_enhancer_mutagenesis_188_GtoC	enhancer_mutagenesis_188_GtoC	11125	8646	1972	8211	4112	3636
P2186_enhancer_mutagenesis_188_GtoA	enhancer_mutagenesis_188_GtoA	4639	7202	1696	6011	3245	8532
P2187_enhancer_mutagenesis_188_GtoT	enhancer_mutagenesis_188_GtoT	4874	4665	681	5085	8998	3325
P2188_enhancer_mutagenesis_188_GtoC	enhancer_mutagenesis_188_GtoC	2734	4543	633	4537	2363	3021
P2189_enhancer_mutagenesis_189_GtoA	enhancer_mutagenesis_189_GtoA	2807	7251	946	2551	1672	9869
P2190_enhancer_mutagenesis_189_GtoT	enhancer_mutagenesis_189_GtoT	3426	3680	2218	3646	2656	1506
P2191_enhancer_mutagenesis_189_GtoC	enhancer_mutagenesis_189_GtoC	4547	8767	1491	3967	2820	7938
P2192_enhancer_mutagenesis_189_GtoA	enhancer_mutagenesis_189_GtoA	8039	7263	1362	5127	3692	4792
P2193_enhancer_mutagenesis_189_GtoT	enhancer_mutagenesis_189_GtoT	514	1024	804	444	900	291
P2194_enhancer_mutagenesis_189_GtoC	enhancer_mutagenesis_189_GtoC	1675	1728	137	1382	91	1214
P2195_enhancer_mutagenesis_189_GtoA	enhancer_mutagenesis_189_GtoA	3575	3271	3285	4411	2171	2458
P2196_enhancer_mutagenesis_189_GtoT	enhancer_mutagenesis_189_GtoT	6277	2878	853	3149	1707	3807
P2197_enhancer_mutagenesis_189_GtoC	enhancer_mutagenesis_189_GtoC	4922	7747	2570	9698	8781	5105
P2198_enhancer_mutagenesis_190_AtoT	enhancer_mutagenesis_190_AtoT	4562	7827	2221	3958	3601	2164
P2199_enhancer_mutagenesis_190_AtoC	enhancer_mutagenesis_190_AtoC	4798	6262	935	5416	3970	2827
P2200_enhancer_mutagenesis_190_AtoG	enhancer_mutagenesis_190_AtoG	4999	6689	1105	5666	6487	4042
P2201_enhancer_mutagenesis_190_AtoT	enhancer_mutagenesis_190_AtoT	2948	3987	340	2763	2261	2610
P2202_enhancer_mutagenesis_190_AtoC	enhancer_mutagenesis_190_AtoC	1989	3871	670	2040	553	1318
P2203_enhancer_mutagenesis_190_AtoG	enhancer_mutagenesis_190_AtoG	3871	7809	1031	5556	4367	3205
P2204_enhancer_mutagenesis_190_AtoT	enhancer_mutagenesis_190_AtoT	1896	4966	714	4515	2901	1881
P2205_enhancer_mutagenesis_190_AtoC	enhancer_mutagenesis_190_AtoC	2883	4851	811	4958	4286	1805
P2206_enhancer_mutagenesis_190_AtoG	enhancer_mutagenesis_190_AtoG	5156	10401	2242	7999	8251	3697
P2207_enhancer_mutagenesis_191_AtoT	enhancer_mutagenesis_191_AtoT	2286	2659	1210	3643	1802	1382
P2208_enhancer_mutagenesis_191_AtoC	enhancer_mutagenesis_191_AtoC	10193	8602	4282	7739	5183	6985
P2209_enhancer_mutagenesis_191_AtoG	enhancer_mutagenesis_191_AtoG	7602	4360	820	2374	1751	4373
P2210_enhancer_mutagenesis_191_AtoT	enhancer_mutagenesis_191_AtoT	13935	11616	1987	11479	10858	6927
P2211_enhancer_mutagenesis_191_AtoC	enhancer_mutagenesis_191_AtoC	807	2907	558	1544	546	1730
P2212_enhancer_mutagenesis_191_AtoG	enhancer_mutagenesis_191_AtoG	4381	7390	483	3989	2261	3616
P2213_enhancer_mutagenesis_191_AtoT	enhancer_mutagenesis_191_AtoT	2021	5320	1069	6860	3740	6774
P2214_enhancer_mutagenesis_191_AtoC	enhancer_mutagenesis_191_AtoC	4291	8310	3667	7315	5170	8454
P2215_enhancer_mutagenesis_191_AtoG	enhancer_mutagenesis_191_AtoG	4903	6441	1785	6032	5296	2442
P2216_enhancer_mutagenesis_192_CtoA	enhancer_mutagenesis_192_CtoA	2393	5386	1462	6506	3975	1596
P2217_enhancer_mutagenesis_192_CtoT	enhancer_mutagenesis_192_CtoT	27839	9360	2990	6885	7834	10167
P2218_enhancer_mutagenesis_192_CtoG	enhancer_mutagenesis_192_CtoG	2614	4844	1324	4473	2445	2459
P2219_enhancer_mutagenesis_192_CtoA	enhancer_mutagenesis_192_CtoA	5993	6688	1399	6321	8996	3995
P2220_enhancer_mutagenesis_192_CtoT	enhancer_mutagenesis_192_CtoT	43260	17528	2192	25349	19817	21774
P2221_enhancer_mutagenesis_192_CtoG	enhancer_mutagenesis_192_CtoG	3187	6267	2077	4085	2566	1528
P2222_enhancer_mutagenesis_192_CtoA	enhancer_mutagenesis_192_CtoA	2895	5342	545	4743	7740	4121
P2223_enhancer_mutagenesis_192_CtoT	enhancer_mutagenesis_192_CtoT	3302	5351	782	7231	3442	2215
P2224_enhancer_mutagenesis_192_CtoG	enhancer_mutagenesis_192_CtoG	3429	4959	686	5324	2153	4365
P2225_enhancer_mutagenesis_193_AtoT	enhancer_mutagenesis_193_AtoT	2940	8735	823	4300	2610	6164
P2226_enhancer_mutagenesis_193_AtoC	enhancer_mutagenesis_193_AtoC	2201	3335	860	5430	2018	1370
P2227_enhancer_mutagenesis_193_AtoG	enhancer_mutagenesis_193_AtoG	2754	3047	819	1654	3762	2531
P2228_enhancer_mutagenesis_193_AtoT	enhancer_mutagenesis_193_AtoT	3585	4863	986	2885	1838	3967
P2229_enhancer_mutagenesis_193_AtoC	enhancer_mutagenesis_193_AtoC	3473	4071	481	3688	1747	1755
P2230_enhancer_mutagenesis_193_AtoG	enhancer_mutagenesis_193_AtoG	6364	8643	1899	7090	3901	4523
P2231_enhancer_mutagenesis_193_AtoT	enhancer_mutagenesis_193_AtoT	1264	2973	544	2881	5296	1291
P2232_enhancer_mutagenesis_193_AtoC	enhancer_mutagenesis_193_AtoC	4730	8660	1993	7717	10787	4947
P2233_enhancer_mutagenesis_193_AtoG	enhancer_mutagenesis_193_AtoG	3248	3640	989	2597	1904	3074
P2234_enhancer_mutagenesis_194_GtoA	enhancer_mutagenesis_194_GtoA	2960	6022	699	4241	1868	1850
P2235_enhancer_mutagenesis_194_GtoT	enhancer_mutagenesis_194_GtoT	1998	3624	1076	2055	1570	1414
P2236_enhancer_mutagenesis_194_GtoC	enhancer_mutagenesis_194_GtoC	5109	5983	1880	4492	2370	2336
P2237_enhancer_mutagenesis_194_GtoA	enhancer_mutagenesis_194_GtoA	3400	7503	819	6330	2059	3094
P2238_enhancer_mutagenesis_194_GtoT	enhancer_mutagenesis_194_GtoT	3821	7512	951	2279	3400	2542
P2239_enhancer_mutagenesis_194_GtoC	enhancer_mutagenesis_194_GtoC	7747	9943	1775	8193	4028	3229
P2240_enhancer_mutagenesis_194_GtoA	enhancer_mutagenesis_194_GtoA	2634	5203	782	4668	5043	2394
P2241_enhancer_mutagenesis_194_GtoT	enhancer_mutagenesis_194_GtoT	4291	8953	1811	5396	4031	3304
P2242_enhancer_mutagenesis_194_GtoC	enhancer_mutagenesis_194_GtoC	1813	2337	434	2247	2974	3340
P2243_enhancer_mutagenesis_195_CtoA	enhancer_mutagenesis_195_CtoA	4054	5872	1835	4347	3013	2315
P2244_enhancer_mutagenesis_195_CtoT	enhancer_mutagenesis_195_CtoT	4800	8349	1613	4621	3788	3269
P2245_enhancer_mutagenesis_195_CtoG	enhancer_mutagenesis_195_CtoG	2406	6827	613	1944	1788	1913
P2246_enhancer_mutagenesis_195_CtoA	enhancer_mutagenesis_195_CtoA	646	544	258	1884	4398	376
P2247_enhancer_mutagenesis_195_CtoT	enhancer_mutagenesis_195_CtoT	7093	7304	1314	4700	5743	3973
P2248_enhancer_mutagenesis_195_CtoG	enhancer_mutagenesis_195_CtoG	5548	1799	195	1268	853	1745
P2249_enhancer_mutagenesis_195_CtoA	enhancer_mutagenesis_195_CtoA	1064	3206	903	2455	1634	2188
P2250_enhancer_mutagenesis_195_CtoT	enhancer_mutagenesis_195_CtoT	1599	2190	365	3331	2675	3145
P2251_enhancer_mutagenesis_195_CtoG	enhancer_mutagenesis_195_CtoG	1869	2813	547	4961	1693	2155
P2252_enhancer_mutagenesis_196_CtoA	enhancer_mutagenesis_196_CtoA	3098	7999	1009	7467	2260	2318
P2253_enhancer_mutagenesis_196_CtoT	enhancer_mutagenesis_196_CtoT	1946	3312	912	1790	1791	884
P2254_enhancer_mutagenesis_196_CtoG	enhancer_mutagenesis_196_CtoG	2671	2645	391	1815	1105	1026
P2255_enhancer_mutagenesis_196_CtoA	enhancer_mutagenesis_196_CtoA	1720	5847	357	2454	4985	3013
P2256_enhancer_mutagenesis_196_CtoT	enhancer_mutagenesis_196_CtoT	686	1022	351	1059	1430	771
P2257_enhancer_mutagenesis_196_CtoG	enhancer_mutagenesis_196_CtoG	3060	4514	2122	3740	3490	4203
P2258_enhancer_mutagenesis_196_CtoA	enhancer_mutagenesis_196_CtoA	4167	2889	816	4239	4940	4278
P2259_enhancer_mutagenesis_196_CtoT	enhancer_mutagenesis_196_CtoT	2909	3145	624	2655	2145	651
P2260_enhancer_mutagenesis_196_CtoG	enhancer_mutagenesis_196_CtoG	4810	6418	1909	7658	8450	3320
P2261_enhancer_mutagenesis_197_CtoA	enhancer_mutagenesis_197_CtoA	2952	2030	723	1779	1246	531
P2262_enhancer_mutagenesis_197_CtoT	enhancer_mutagenesis_197_CtoT	1090	599	112	976	247	127
P2263_enhancer_mutagenesis_197_CtoG	enhancer_mutagenesis_197_CtoG	2722	7332	1389	3096	1751	1578
P2264_enhancer_mutagenesis_197_CtoA	enhancer_mutagenesis_197_CtoA	2650	4584	2230	3985	5592	1752
P2265_enhancer_mutagenesis_197_CtoT	enhancer_mutagenesis_197_CtoT	2077	2646	1030	3391	739	1817
P2266_enhancer_mutagenesis_197_CtoG	enhancer_mutagenesis_197_CtoG	3867	7505	1265	3061	8485	1740
P2267_enhancer_mutagenesis_197_CtoA	enhancer_mutagenesis_197_CtoA	778	946	276	2301	814	1678
P2268_enhancer_mutagenesis_197_CtoT	enhancer_mutagenesis_197_CtoT	5928	3036	843	4304	3658	3754
P2269_enhancer_mutagenesis_197_CtoG	enhancer_mutagenesis_197_CtoG	1974	4013	367	4147	2233	3386
P2270_enhancer_mutagenesis_198_AtoT	enhancer_mutagenesis_198_AtoT	2733	5152	1308	2534	7397	1495
P2271_enhancer_mutagenesis_198_AtoC	enhancer_mutagenesis_198_AtoC	1520	2434	425	2445	2177	1468
P2272_enhancer_mutagenesis_198_AtoG	enhancer_mutagenesis_198_AtoG	1467	3777	621	2215	1380	2331
P2273_enhancer_mutagenesis_198_AtoT	enhancer_mutagenesis_198_AtoT	4837	5517	933	6528	1439	4453
P2274_enhancer_mutagenesis_198_AtoC	enhancer_mutagenesis_198_AtoC	1427	4902	419	1361	989	5268
P2275_enhancer_mutagenesis_198_AtoG	enhancer_mutagenesis_198_AtoG	1347	1517	337	398	987	852
P2276_enhancer_mutagenesis_198_AtoT	enhancer_mutagenesis_198_AtoT	771	1731	559	2637	1632	794
P2277_enhancer_mutagenesis_198_AtoC	enhancer_mutagenesis_198_AtoC	2250	4277	1391	4252	4403	3825
P2278_enhancer_mutagenesis_198_AtoG	enhancer_mutagenesis_198_AtoG	1736	3291	587	3801	1484	3497
P2279_enhancer_mutagenesis_199_CtoA	enhancer_mutagenesis_199_CtoA	2023	3194	512	1363	6644	531
P2280_enhancer_mutagenesis_199_CtoT	enhancer_mutagenesis_199_CtoT	1673	1940	178	695	99	362
P2281_enhancer_mutagenesis_199_CtoG	enhancer_mutagenesis_199_CtoG	376	663	94	48	168	24
P2282_enhancer_mutagenesis_199_CtoA	enhancer_mutagenesis_199_CtoA	3973	7494	1416	5995	4556	6520
P2283_enhancer_mutagenesis_199_CtoT	enhancer_mutagenesis_199_CtoT	3835	5869	1039	6270	4655	5656
P2284_enhancer_mutagenesis_199_CtoG	enhancer_mutagenesis_199_CtoG	2624	9134	746	3182	5397	3606
P2285_enhancer_mutagenesis_199_CtoA	enhancer_mutagenesis_199_CtoA	3087	4338	706	3603	2274	1165
P2286_enhancer_mutagenesis_199_CtoT	enhancer_mutagenesis_199_CtoT	1683	4322	594	3908	5228	2021
P2287_enhancer_mutagenesis_199_CtoG	enhancer_mutagenesis_199_CtoG	1886	2196	444	2049	1004	888
P2288_enhancer_mutagenesis_200_AtoT	enhancer_mutagenesis_200_AtoT	1406	3550	994	823	2846	419
P2289_enhancer_mutagenesis_200_AtoC	enhancer_mutagenesis_200_AtoC	1742	2565	305	1048	1113	644
P2290_enhancer_mutagenesis_200_AtoG	enhancer_mutagenesis_200_AtoG	3779	2333	263	1790	221	469
P2291_enhancer_mutagenesis_200_AtoT	enhancer_mutagenesis_200_AtoT	1940	4842	454	2996	2646	4868
P2292_enhancer_mutagenesis_200_AtoC	enhancer_mutagenesis_200_AtoC	3905	4082	765	5960	4079	5277
P2293_enhancer_mutagenesis_200_AtoG	enhancer_mutagenesis_200_AtoG	4316	6953	1655	8524	9484	7982
P2294_enhancer_mutagenesis_200_AtoT	enhancer_mutagenesis_200_AtoT	2612	5381	1393	5945	4668	5579
P2295_enhancer_mutagenesis_200_AtoC	enhancer_mutagenesis_200_AtoC	557	1684	129	1263	890	1820
P2296_enhancer_mutagenesis_200_AtoG	enhancer_mutagenesis_200_AtoG	211	322	193	538	822	564
P2297_enhancer_mutagenesis_201_GtoA	enhancer_mutagenesis_201_GtoA	601	1170	115	1206	190	434
P2298_enhancer_mutagenesis_201_GtoT	enhancer_mutagenesis_201_GtoT	2929	5341	1814	2522	877	1001
P2299_enhancer_mutagenesis_201_GtoC	enhancer_mutagenesis_201_GtoC	505	1017	165	4013	273	664
P2300_enhancer_mutagenesis_201_GtoA	enhancer_mutagenesis_201_GtoA	3704	6913	1336	3436	3028	3092
P2301_enhancer_mutagenesis_201_GtoT	enhancer_mutagenesis_201_GtoT	703	551	138	690	22	595
P2302_enhancer_mutagenesis_201_GtoC	enhancer_mutagenesis_201_GtoC	6161	7636	1200	7866	4440	2682
P2303_enhancer_mutagenesis_201_GtoA	enhancer_mutagenesis_201_GtoA	4254	7167	2279	5346	2748	2059
P2304_enhancer_mutagenesis_201_GtoT	enhancer_mutagenesis_201_GtoT	2385	4058	1017	3517	1193	1971
P2305_enhancer_mutagenesis_201_GtoC	enhancer_mutagenesis_201_GtoC	2038	4219	443	3170	3633	2619
P2306_enhancer_mutagenesis_202_CtoA	enhancer_mutagenesis_202_CtoA	3415	6940	550	5696	3491	3000
P2307_enhancer_mutagenesis_202_CtoT	enhancer_mutagenesis_202_CtoT	3406	8921	1702	9693	4701	6001
P2308_enhancer_mutagenesis_202_CtoG	enhancer_mutagenesis_202_CtoG	4399	7218	813	6635	2126	3961
P2309_enhancer_mutagenesis_202_CtoA	enhancer_mutagenesis_202_CtoA	3035	4258	559	3745	1552	829
P2310_enhancer_mutagenesis_202_CtoT	enhancer_mutagenesis_202_CtoT	1242	2364	300	1004	1441	450
P2311_enhancer_mutagenesis_202_CtoG	enhancer_mutagenesis_202_CtoG	1463	1988	390	2774	1287	1012
P2312_enhancer_mutagenesis_202_CtoA	enhancer_mutagenesis_202_CtoA	4919	4944	995	2711	2427	2525
P2313_enhancer_mutagenesis_202_CtoT	enhancer_mutagenesis_202_CtoT	2600	4242	1016	3435	1933	1724
P2314_enhancer_mutagenesis_202_CtoG	enhancer_mutagenesis_202_CtoG	270	821	365	1378	470	319
P2315_enhancer_mutagenesis_203_AtoT	enhancer_mutagenesis_203_AtoT	4743	7176	1181	5092	2199	3115
P2316_enhancer_mutagenesis_203_AtoC	enhancer_mutagenesis_203_AtoC	3338	4377	350	1965	4978	2566
P2317_enhancer_mutagenesis_203_AtoG	enhancer_mutagenesis_203_AtoG	4323	8709	1304	4077	2867	4504
P2318_enhancer_mutagenesis_203_AtoT	enhancer_mutagenesis_203_AtoT	641	983	216	1004	2304	199
P2319_enhancer_mutagenesis_203_AtoC	enhancer_mutagenesis_203_AtoC	1788	1938	592	2485	676	801
P2320_enhancer_mutagenesis_203_AtoG	enhancer_mutagenesis_203_AtoG	685	1508	1127	1481	309	575
P2321_enhancer_mutagenesis_203_AtoT	enhancer_mutagenesis_203_AtoT	948	1472	330	5398	1592	550
P2322_enhancer_mutagenesis_203_AtoC	enhancer_mutagenesis_203_AtoC	1915	3264	2065	4308	2750	1724
P2323_enhancer_mutagenesis_203_AtoG	enhancer_mutagenesis_203_AtoG	1723	1696	423	1268	1229	961
P2324_enhancer_mutagenesis_204_TtoA	enhancer_mutagenesis_204_TtoA	8650	9534	1119	5135	5693	4693
P2325_enhancer_mutagenesis_204_TtoC	enhancer_mutagenesis_204_TtoC	3251	6819	1334	3752	5091	3684
P2326_enhancer_mutagenesis_204_TtoG	enhancer_mutagenesis_204_TtoG	3817	8461	2744	4098	1360	3768
P2327_enhancer_mutagenesis_204_TtoA	enhancer_mutagenesis_204_TtoA	1307	1137	563	2451	1018	699
P2328_enhancer_mutagenesis_204_TtoC	enhancer_mutagenesis_204_TtoC	1285	2681	498	1041	1645	1653
P2329_enhancer_mutagenesis_204_TtoG	enhancer_mutagenesis_204_TtoG	2279	3330	839	4948	2666	1419
P2330_enhancer_mutagenesis_204_TtoA	enhancer_mutagenesis_204_TtoA	5642	8263	2177	5552	4858	4814
P2331_enhancer_mutagenesis_204_TtoC	enhancer_mutagenesis_204_TtoC	3689	4295	994	1718	1589	2367
P2332_enhancer_mutagenesis_204_TtoG	enhancer_mutagenesis_204_TtoG	3517	5406	869	3978	4023	3744
P2333_enhancer_mutagenesis_205_TtoA	enhancer_mutagenesis_205_TtoA	2450	4464	521	1956	2184	5068
P2334_enhancer_mutagenesis_205_TtoC	enhancer_mutagenesis_205_TtoC	4473	5861	1281	3181	5856	2103
P2335_enhancer_mutagenesis_205_TtoG	enhancer_mutagenesis_205_TtoG	2431	3545	358	980	1301	1020
P2336_enhancer_mutagenesis_205_TtoA	enhancer_mutagenesis_205_TtoA	1483	1105	750	1696	589	980
P2337_enhancer_mutagenesis_205_TtoC	enhancer_mutagenesis_205_TtoC	1716	2653	924	2045	740	1002
P2338_enhancer_mutagenesis_205_TtoG	enhancer_mutagenesis_205_TtoG	5033	4968	1042	2676	2665	2662
P2339_enhancer_mutagenesis_205_TtoA	enhancer_mutagenesis_205_TtoA	181	480	152	1557	6	169
P2340_enhancer_mutagenesis_205_TtoC	enhancer_mutagenesis_205_TtoC	5513	3339	1005	2244	2587	3116
P2341_enhancer_mutagenesis_205_TtoG	enhancer_mutagenesis_205_TtoG	4053	7385	968	3758	5711	2366
P2342_enhancer_mutagenesis_206_TtoA	enhancer_mutagenesis_206_TtoA	3094	5844	1850	1872	1016	1947
P2343_enhancer_mutagenesis_206_TtoC	enhancer_mutagenesis_206_TtoC	2230	6957	908	2875	2600	6186
P2344_enhancer_mutagenesis_206_TtoG	enhancer_mutagenesis_206_TtoG	7391	5553	2347	3552	6260	2159
P2345_enhancer_mutagenesis_206_TtoA	enhancer_mutagenesis_206_TtoA	1190	1814	615	921	277	434
P2346_enhancer_mutagenesis_206_TtoC	enhancer_mutagenesis_206_TtoC	5115	2662	514	913	3382	836
P2347_enhancer_mutagenesis_206_TtoG	enhancer_mutagenesis_206_TtoG	1712	3460	631	2957	2280	1575
P2348_enhancer_mutagenesis_206_TtoA	enhancer_mutagenesis_206_TtoA	1874	1995	534	1621	1007	661
P2349_enhancer_mutagenesis_206_TtoC	enhancer_mutagenesis_206_TtoC	438	1107	220	502	832	523
P2350_enhancer_mutagenesis_206_TtoG	enhancer_mutagenesis_206_TtoG	1237	2016	1074	1275	199	1001
P2351_enhancer_mutagenesis_207_TtoA	enhancer_mutagenesis_207_TtoA	7360	9140	1527	6444	6282	3384
P2352_enhancer_mutagenesis_207_TtoC	enhancer_mutagenesis_207_TtoC	3699	6796	2190	2562	1925	1679
P2353_enhancer_mutagenesis_207_TtoG	enhancer_mutagenesis_207_TtoG	5346	6751	1726	4416	5237	2495
P2354_enhancer_mutagenesis_207_TtoA	enhancer_mutagenesis_207_TtoA	1895	2322	223	2167	1043	3799
P2355_enhancer_mutagenesis_207_TtoC	enhancer_mutagenesis_207_TtoC	1818	2118	312	1792	950	1158
P2356_enhancer_mutagenesis_207_TtoG	enhancer_mutagenesis_207_TtoG	738	2433	543	601	1562	354
P2357_enhancer_mutagenesis_207_TtoA	enhancer_mutagenesis_207_TtoA	3086	4363	1242	1750	4362	3512
P2358_enhancer_mutagenesis_207_TtoC	enhancer_mutagenesis_207_TtoC	2666	4375	585	3387	1452	2524
P2359_enhancer_mutagenesis_207_TtoG	enhancer_mutagenesis_207_TtoG	2595	3485	984	2424	1515	2921
P2360_enhancer_mutagenesis_208_TtoA	enhancer_mutagenesis_208_TtoA	12481	14720	2578	7587	5093	3557
P2361_enhancer_mutagenesis_208_TtoC	enhancer_mutagenesis_208_TtoC	1963	1609	239	1607	578	403
P2362_enhancer_mutagenesis_208_TtoG	enhancer_mutagenesis_208_TtoG	3421	4469	884	2156	2756	6977
P2363_enhancer_mutagenesis_208_TtoA	enhancer_mutagenesis_208_TtoA	765	817	606	731	1462	1087
P2364_enhancer_mutagenesis_208_TtoC	enhancer_mutagenesis_208_TtoC	899	539	183	1609	369	519
P2365_enhancer_mutagenesis_208_TtoG	enhancer_mutagenesis_208_TtoG	827	1318	599	2659	3284	1870
